letter,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
Y,0.49778,0.701285,-0.004751,0.50124,0.623536,-0.001144,0.538914,0.620424,-0.013938,0.562612,0.580024,-0.006079,0.602246,0.54956,0.012945,0.544042,0.672043,0.007121,0.569131,0.614936,0.00226,0.556366,0.601682,0.008435,0.612756,0.539572,0.022868,0.543426,0.66485,0.012848,0.584705,0.617734,-0.000883,0.597887,0.608849,-0.001784,0.646809,0.595161,-0.015279,0.548774,0.67905,-0.00289,0.570054,0.626127,-0.020365,0.611781,0.612833,0.024963,0.627077,0.565512,0.000826,0.577867,0.689869,-0.007422,0.611777,0.672452,0.028027,0.623769,0.629244,-0.016026,0.655725,0.592656,-0.00492
L,0.502725,0.690036,-0.008727,0.508763,0.647037,-0.004874,0.535516,0.583072,0.022141,0.532074,0.575961,-0.016115,0.605262,0.564926,0.012102,0.484389,0.653536,0.006022,0.532957,0.631133,-0.005227,0.561052,0.5843,-0.011583,0.594766,0.550998,0.002922,0.509515,0.669751,0.004425,0.577548,0.63019,0.0031,0.581284,0.604648,-0.000578,0.628697,0.57366,-0.003582,0.545298,0.664189,0.014078,0.560673,0.656361,-0.005983,0.601112,0.596496,0.004877,0.641848,0.624218,0.001489,0.556302,0.689895,0.001728,0.577339,0.677138,0.003233,0.618638,0.647306,0.008394,0.634168,0.615109,0.006084
R,0.501186,0.738411,0.002285,0.57856,0.715113,0.013139,0.611016,0.756457,0.002793,0.625934,0.768397,0.002734,0.65179,0.827981,0.009003,0.55381,0.768446,-0.008815,0.589104,0.764677,-0.004215,0.634099,0.809152,0.004343,0.647686,0.836176,0.00934,0.553654,0.773633,-0.005761,0.560983,0.793119,0.00198,0.607775,0.828403,-0.013411,0.628697,0.828082,-0.012212,0.542775,0.764751,0.002183,0.562778,0.806863,-0.027576,0.568567,0.855829,-0.002625,0.604315,0.880021,0.006576,0.517847,0.795523,0.008749,0.570967,0.817731,0.020446,0.583257,0.829739,0.009086,0.591397,0.851435,-0.006407
V,0.502563,0.7247,-0.001892,0.44839,0.647069,-0.011421,0.473592,0.634184,-0.000251,0.472642,0.587597,-0.001759,0.452897,0.515052,-0.009189,0.512017,0.649766,-5.2e-05,0.4761,0.622765,-0.010853,0.51452,0.565524,0.005797,0.471625,0.565929,-0.008406,0.489077,0.64733,-0.007685,0.480382,0.598756,-0.009607,0.488843,0.586346,-0.010703,0.513441,0.553751,0.013486,0.570401,0.656327,-0.004473,0.505756,0.61927,0.005599,0.519295,0.586151,-0.009014,0.513797,0.519265,0.001087,0.548644,0.649703,-0.001897,0.53785,0.620509,-0.018418,0.550674,0.57009,-0.018214,0.5615,0.560459,0.018132
G,0.521019,0.674594,0.003867,0.541963,0.681305,-0.001462,0.580661,0.743571,-0.004947,0.65416,0.769129,-0.007692,0.656145,0.799971,0.021617,0.533072,0.717959,0.010533,0.584772,0.738244,-0.009245,0.605221,0.794344,0.005472,0.641371,0.826907,-0.001676,0.536757,0.72344,-0.015459,0.57286,0.740335,0.000767,0.614342,0.799809,0.008813,0.600407,0.817789,0.011467,0.506087,0.753858,-0.012219,0.533969,0.784669,-0.00578,0.579252,0.821369,-0.010004,0.652294,0.849957,-0.005185,0.52746,0.773051,0.008467,0.535131,0.806026,0.006315,0.576997,0.824441,0.000983,0.591508,0.826318,-0.000142
O,0.53873,0.70294,-0.007998,0.518594,0.642488,-0.020781,0.49138,0.607754,0.026373,0.507149,0.568341,-0.01653,0.499591,0.518981,-0.005473,0.504327,0.641986,0.01063,0.497082,0.630788,-0.012975,0.536008,0.575765,-0.002358,0.516096,0.534929,-0.005693,0.5195,0.651195,0.009777,0.551036,0.603935,-0.005578,0.540392,0.582626,-0.002548,0.534584,0.534665,0.003399,0.594254,0.659651,0.002084,0.544919,0.586129,-0.024383,0.593551,0.567447,0.001787,0.558726,0.518698,0.013961,0.61156,0.648213,-0.003208,0.578093,0.593474,0.011207,0.590761,0.593512,-0.018866,0.595196,0.499865,0.007945
W,0.481586,0.67102,0.03065,0.543671,0.636346,-0.008336,0.59037,0.635133,0.010288,0.631873,0.631131,0.002595,0.666797,0.651058,9.7e-05,0.534308,0.648799,-0.004956,0.592689,0.658102,-0.009977,0.600617,0.649323,0.002948,0.681568,0.648073,-0.003248,0.540724,0.669438,0.008256,0.583155,0.669047,0.012708,0.634999,0.666624,-0.005243,0.67079,0.656735,0.000814,0.548798,0.674259,0.01169,0.568147,0.672137,0.004059,0.605341,0.663451,-0.015446,0.653882,0.70742,-0.02587,0.552306,0.689772,0.018103,0.583055,0.679719,0.01244,0.613641,0.734335,0.00181,0.661493,0.722115,-0.026056
Y,0.517428,0.744964,0.013727,0.538602,0.661054,-0.004302,0.54808,0.627601,0.00281,0.589699,0.604195,0.009143,0.619125,0.578621,0.009282,0.545435,0.693603,-0.010546,0.604608,0.641951,-0.012285,0.577048,0.628561,-0.005263,0.617953,0.568726,0.004176,0.568122,0.687963,-0.023459,0.59198,0.681884,0.004506,0.606821,0.607958,0.000364,0.633917,0.614685,-0.001137,0.561097,0.706551,-0.004579,0.591768,0.668877,0.004688,0.610239,0.629337,-0.003245,0.662928,0.615068,0.0069,0.613243,0.704906,-0.025537,0.617684,0.688933,-0.003122,0.623951,0.655282,-0.013503,0.646031,0.654912,0.00375
Q,0.53315,0.682191,0.010772,0.535785,0.623029,-0.002482,0.618865,0.652077,0.004885,0.638216,0.640061,-0.00787,0.704575,0.656136,0.006415,0.582506,0.678914,-0.002405,0.608872,0.680249,0.001884,0.636782,0.678498,-0.010526,0.679249,0.689237,-0.010336,0.551574,0.709551,0.006762,0.619554,0.714385,-0.005514,0.643599,0.728475,0.00231,0.687642,0.685562,-0.009655,0.578983,0.709823,0.010343,0.612216,0.729006,-0.012141,0.626118,0.729936,-0.023062,0.69146,0.715487,0.003053,0.560916,0.754686,0.013409,0.603079,0.729509,0.005058,0.652168,0.740573,-0.005226,0.664816,0.732266,0.007568
K,0.510667,0.715163,0.00196,0.462433,0.685874,-0.000731,0.466246,0.638508,0.017226,0.461354,0.58773,0.002457,0.474007,0.57354,-0.005001,0.48707,0.667267,-0.000246,0.516412,0.642296,0.008604,0.522861,0.584671,0.002299,0.501439,0.568858,-0.009809,0.505043,0.670153,0.005094,0.529317,0.622606,-0.027634,0.516021,0.579133,-0.003713,0.52282,0.549828,0.000202,0.513586,0.652076,-0.005173,0.532503,0.603807,0.00353,0.555627,0.601108,0.007372,0.552511,0.523134,0.008924,0.545874,0.661852,0.008943,0.575332,0.62524,0.007946,0.553855,0.588799,0.020044,0.546719,0.558781,0.000997
M,0.497653,0.668509,0.00283,0.547311,0.646007,-0.009324,0.599418,0.663329,0.016357,0.645784,0.637966,-0.002297,0.671674,0.633921,-0.012002,0.579234,0.667366,-0.014649,0.60336,0.668024,0.011913,0.656841,0.68664,0.002545,0.675325,0.642132,-0.014905,0.567235,0.670975,0.000226,0.607092,0.704087,0.003683,0.626952,0.705664,-0.00028,0.693975,0.700486,-0.022127,0.578756,0.733656,0.00353,0.598271,0.692592,-0.006757,0.629813,0.720299,-0.002037,0.682751,0.701584,-0.00194,0.555335,0.735085,-0.008075,0.618202,0.73152,-0.009831,0.605402,0.750791,0.008541,0.667614,0.760724,0.004225
Q,0.501882,0.696447,-0.023597,0.527647,0.6343,0.003358,0.577926,0.631818,-0.001624,0.614291,0.634714,-0.010624,0.649765,0.659344,-0.019476,0.51078,0.613551,-0.014357,0.58479,0.642495,-0.011583,0.593904,0.696239,0.013939,0.642966,0.66487,-0.007481,0.559855,0.6774,-0.002145,0.604744,0.673787,-0.000531,0.605608,0.692367,0.013331,0.674047,0.6676,0.003931,0.53366,0.681917,-0.009258,0.559219,0.698783,-0.014705,0.657562,0.695076,-0.007321,0.673414,0.724833,0.005267,0.529465,0.716504,-0.005965,0.552677,0.747566,0.00739,0.623377,0.69806,-0.005864,0.658099,0.709918,0.011111
L,0.4734,0.722494,-0.011544,0.472426,0.642433,-0.005567,0.546554,0.626488,0.002818,0.558729,0.588544,0.00972,0.588946,0.591797,-0.007336,0.52335,0.652307,-0.014551,0.536604,0.660784,-0.004477,0.557372,0.602769,-0.010031,0.630979,0.56868,0.009272,0.526292,0.652072,-0.006424,0.555209,0.639891,0.010286,0.567682,0.62406,0.008667,0.602865,0.599352,0.004973,0.531678,0.674189,0.005301,0.562632,0.662536,-0.031131,0.597301,0.626929,-0.00619,0.644869,0.615421,0.006359,0.548446,0.710229,-0.011947,0.583234,0.66795,-0.002256,0.612172,0.649419,2.7e-05,0.649492,0.623415,0.016202
G,0.461339,0.722383,0.000664,0.545155,0.752647,0.016331,0.605639,0.775745,-0.005232,0.61098,0.782121,0.013399,0.668595,0.816414,-0.009118,0.526404,0.761242,0.000897,0.557168,0.771979,0.014637,0.587612,0.809334,0.002066,0.641319,0.845208,0.007287,0.514382,0.778309,0.002251,0.57457,0.76116,0.001284,0.589372,0.835945,-0.011677,0.622297,0.869805,0.011821,0.497196,0.789239,-0.011147,0.532298,0.814779,0.002434,0.538083,0.826331,0.005375,0.589186,0.879668,-0.012647,0.488305,0.794637,-0.004082,0.50016,0.812925,-0.012269,0.545759,0.840598,-0.004321,0.572342,0.880207,-0.014887
V,0.539007,0.697981,-0.012231,0.471011,0.617741,-0.009828,0.48229,0.606079,0.006223,0.488251,0.543817,0.01562,0.496102,0.50718,0.001272,0.507697,0.654735,-0.01203,0.521889,0.593188,0.000949,0.500797,0.583218,-0.01039,0.472879,0.522172,0.01401,0.535952,0.65606,0.008619,0.531376,0.596775,0.000244,0.539917,0.560568,0.001817,0.492746,0.527852,-0.008532,0.549707,0.656094,0.005801,0.545648,0.587373,-0.007755,0.511999,0.553888,0.005213,0.535752,0.519596,-0.00046,0.572122,0.675292,-0.013548,0.537601,0.612146,-0.004077,0.562551,0.560403,0.014321,0.560942,0.495043,-0.002636
Z,0.469429,0.707158,0.006623,0.432084,0.743194,-0.004965,0.393963,0.772082,-0.008134,0.35602,0.724388,0.004801,0.30517,0.733422,0.00291,0.431439,0.743351,0.027092,0.399719,0.722015,0.003644,0.375695,0.722291,0.009288,0.30881,0.739297,0.022192,0.423702,0.738821,0.013732,0.397232,0.695122,0.004939,0.329874,0.712182,-0.012626,0.322806,0.702157,0.010153,0.41611,0.653921,0.007548,0.367053,0.70535,-0.01145,0.376156,0.701314,0.000635,0.296922,0.66749,0.000185,0.43162,0.659267,0.002682,0.406417,0.662601,-0.003925,0.347565,0.675246,-0.003798,0.30946,0.669141,0.003398
J,0.504653,0.663329,0.003203,0.473036,0.629578,0.001259,0.489018,0.571296,-0.006113,0.484938,0.533643,0.01881,0.480487,0.523829,0.009275,0.504758,0.623508,-0.009093,0.495008,0.596929,-0.001695,0.503328,0.552085,0.01262,0.495343,0.507006,0.016246,0.497523,0.636335,0.013848,0.519439,0.567504,0.001433,0.529834,0.573337,0.010971,0.505466,0.481424,-0.007165,0.543071,0.636107,-0.008691,0.532616,0.593892,0.021989,0.529467,0.564242,0.006914,0.549928,0.505075,-0.005541,0.564321,0.638993,-0.003547,0.544436,0.609357,-0.014337,0.585784,0.56816,-0.006802,0.549895,0.511142,0.009275
J,0.530935,0.691413,0.003427,0.492695,0.632484,-0.017522,0.473152,0.582393,-0.003495,0.4996,0.554514,0.018134,0.499927,0.514494,-0.00161,0.492423,0.656918,-0.001951,0.476417,0.596653,0.003218,0.49349,0.549939,0.012325,0.499238,0.495759,0.012078,0.523059,0.642145,0.023125,0.505814,0.613126,0.010825,0.527516,0.564937,0.017391,0.528531,0.518364,-0.008688,0.562098,0.632494,-0.002382,0.563403,0.610076,0.010325,0.537544,0.557791,-0.007672,0.562022,0.518707,-0.001908,0.554715,0.621989,-0.001573,0.59018,0.613519,0.009254,0.584395,0.536679,0.013667,0.565286,0.533669,0.003418
S,0.557754,0.706336,0.019702,0.496864,0.71021,0.006103,0.513801,0.65093,0.009145,0.527046,0.596066,-0.0002,0.543244,0.560184,-0.01529,0.534126,0.682955,0.00233,0.524308,0.661797,0.007963,0.506998,0.602978,-0.01031,0.524525,0.557138,-0.005282,0.567381,0.680792,0.010081,0.538301,0.657711,-0.008122,0.550293,0.580618,0.015293,0.580208,0.547742,-0.002897,0.579112,0.656951,-0.007889,0.5724,0.63367,-0.004084,0.568633,0.598401,-0.008997,0.573775,0.587639,0.002884,0.585743,0.658649,0.004879,0.596117,0.624545,-0.013613,0.59032,0.581129,-0.003144,0.59601,0.571851,-0.009083
I,0.534744,0.659271,-0.014991,0.56882,0.650019,0.001757,0.594987,0.649,-0.004762,0.653873,0.636413,-0.001274,0.7018,0.636612,-0.021489,0.578254,0.669127,0.002546,0.612536,0.678503,0.007576,0.643916,0.680215,-0.013052,0.722427,0.652081,0.002851,0.559672,0.675024,-0.004972,0.64926,0.691129,-0.004295,0.662153,0.661167,-0.004306,0.698577,0.686256,0.009427,0.574153,0.723228,0.00099,0.620666,0.704095,-0.014415,0.649998,0.707011,0.00072,0.698554,0.676268,-0.017391,0.581929,0.729228,0.001939,0.613288,0.727479,-0.012022,0.627056,0.73821,-0.004972,0.673532,0.711422,0.001613
L,0.53303,0.703738,0.004747,0.507492,0.651362,-0.004598,0.557396,0.593856,0.007211,0.569476,0.616347,-0.004418,0.584995,0.57101,-0.001792,0.514651,0.638694,-0.0011,0.56226,0.608446,0.009973,0.568183,0.573676,-0.002644,0.606541,0.593614,-0.005759,0.528759,0.662023,-0.000774,0.5789,0.626242,-0.019738,0.598126,0.619299,0.011126,0.646281,0.610654,0.007947,0.537101,0.687748,-0.003357,0.564588,0.68013,-0.007426,0.622274,0.610528,0.005983,0.614201,0.594375,-0.004703,0.578903,0.702092,0.000846,0.575959,0.667353,-0.002704,0.594742,0.619666,-0.013268,0.650775,0.630081,-0.011415
Z,0.491073,0.729872,0.009653,0.479175,0.76605,-0.007635,0.403652,0.761212,0.002325,0.404757,0.774035,0.000316,0.326307,0.775791,0.009695,0.450317,0.767628,0.001466,0.43304,0.741978,0.00209,0.3412,0.734429,-0.006639,0.324842,0.74619,-0.009177,0.461136,0.734721,-0.00121,0.405288,0.720001,-0.007061,0.370013,0.730846,-0.005189,0.309744,0.723429,-0.006429,0.447071,0.706432,-0.007251,0.417549,0.700134,0.001184,0.393973,0.684311,0.002272,0.346547,0.720811,0.000989,0.481775,0.680189,-0.010944,0.395832,0.681451,0.012728,0.359411,0.671352,-0.00181,0.341744,0.660851,-0.016943
P,0.449721,0.695693,-0.005155,0.463689,0.616506,-0.004931,0.498337,0.604255,0.010084,0.547922,0.579156,0.001293,0.582576,0.531263,-0.002193,0.519665,0.653543,-0.011711,0.522156,0.620845,0.002677,0.542701,0.588665,-0.000883,0.576944,0.550201,-0.009122,0.536751,0.667323,-0.006154,0.580409,0.617677,2.9e-05,0.58085,0.583836,0.001925,0.60232,0.588527,-0.011386,0.508422,0.668194,-0.019705,0.556574,0.637077,0.009654,0.560287,0.604871,0.017043,0.633382,0.603836,-0.011304,0.542035,0.704472,-0.009492,0.578129,0.653755,0.000988,0.594242,0.666069,0.019622,0.614263,0.620217,-0.016871
F,0.508257,0.679421,0.005078,0.529629,0.661135,0.00057,0.581326,0.632172,0.005621,0.636848,0.675814,0.004189,0.634623,0.644301,-0.006831,0.538862,0.674562,0.001544,0.594729,0.655084,0.00093,0.588472,0.678568,-0.010094,0.662322,0.7064,0.007703,0.565854,0.671377,-0.00093,0.583523,0.677363,0.002151,0.609651,0.678703,-0.007634,0.65064,0.674809,-0.000898,0.566426,0.699656,-0.009246,0.580568,0.723618,0.021178,0.642287,0.752151,0.009585,0.677531,0.711425,0.002219,0.542325,0.749688,0.010047,0.581071,0.736837,-0.010594,0.609907,0.723328,0.011452,0.664459,0.743352,0.007514
